startHoleTime,AveRotPressure,drilledMeters,rigSerial,endHoleTime,AvePenetrRate,status,AveDampPressure,AveFlushPressure,reDrillStatus,holeID,Software,currentShift,AvePercPressure,AveFeedPressure
10/02/2025 05:17,50.22739285714285,5.98,0,10/02/2025 05:20,1.9986964285714284,Success,0,17.77205357142857,0,627,6.28.1,2025-02-09 N,17.77205357142857,47.5265
10/02/2025 05:24,53.20510526315789,6.094,0,10/02/2025 05:27,2.378368421052632,Success,0,18.08921052631579,0,628,6.28.1,2025-02-09 N,18.08921052631579,47.38996491
10/02/2025 05:39,50.73230508474577,6.172,0,10/02/2025 05:43,1.6254237288135593,Success,0,18.193220338983053,0,629,6.28.1,2025-02-09 N,18.193220338983053,47.918847457627116
10/02/2025 05:53,49.59038888888889,5.898,0,10/02/2025 05:56,2.6019444444444444,Success,0,17.25722222222222,0,630,6.28.1,2025-02-09 N,17.25722222222222,47.08203703703703
10/02/2025 05:59,49.95823636363637,5.909,0,10/02/2025 06:03,2.806290909090909,Success,0,16.053545454545457,0,631,6.28.1,2025-02-09 N,16.053545454545457,47.67961818181818
10/02/2025 06:07,50.36410909090909,6.053,0,10/02/2025 06:11,2.2914545454545454,Success,0,18.14481818181818,0,632,6.28.1,2025-02-10 D,18.14481818181818,47.348254545454544
10/02/2025 06:16,50.325607142857145,6.104,0,10/02/2025 06:20,1.9418392857142857,Success,0,17.690357142857142,0,633,6.28.1,2025-02-10 D,17.690357142857142,47.66216071428572
10/02/2025 06:23,52.52861016949153,6.17,0,10/02/2025 06:27,1.8599322033898307,Success,0,18.196525423728815,0,634,6.28.1,2025-02-10 D,18.196525423728815,47.933898305084746
10/02/2025 07:04,54.15248333333333,6.366,0,10/02/2025 07:09,1.9259666666666666,Success,0,17.388250000000003,0,635,6.28.1,2025-02-10 D,17.388250000000003,46.86555
10/02/2025 07:13,54.302683333333334,6.298,0,10/02/2025 07:17,1.5343833333333334,Success,0,17.998,0,636,6.28.1,2025-02-10 D,17.998,48.0623
10/02/2025 07:23,55.02558333333333,6.279,0,10/02/2025 07:28,1.3974499999999999,Success,0,17.444000000000003,0,637,6.28.1,2025-02-10 D,17.444000000000003,47.3935
10/02/2025 07:31,53.930112903225805,6.377,0,10/02/2025 07:36,1.5970322580645162,Success,0,17.593064516129033,0,638,6.28.1,2025-02-10 D,17.593064516129033,47.654612903225804
10/02/2025 07:40,54.81865573770492,6.398,0,10/02/2025 07:44,1.8203442622950818,Success,0,18.068852459016394,0,639,6.28.1,2025-02-10 D,18.068852459016394,47.90078689
10/02/2025 07:50,54.3085,6.286,0,10/02/2025 07:53,3.2291206896551725,Success,0,16.531293103448274,0,640,6.28.1,2025-02-10 D,16.531293103448274,44.86277586206897
10/02/2025 08:12,53.048131147540985,6.322,0,10/02/2025 08:16,1.7267704918032787,Success,0,17.796147540983608,0,641,6.28.1,2025-02-10 D,17.796147540983608,47.37306557377049
10/02/2025 08:21,53.02013114754099,6.348,0,10/02/2025 08:25,1.5677540983606557,Success,0,17.88860655737705,0,642,6.28.1,2025-02-10 D,17.88860655737705,47.21744262295082
10/02/2025 08:32,53.415,6.185,0,10/02/2025 08:38,1.4825762711864405,Success,0,17.37864406779661,0,643,6.28.1,2025-02-10 D,17.37864406779661,46.933033898305084
10/02/2025 09:41,36.38664285714286,2.996,0,10/02/2025 09:50,2.819714285714286,Fail,0,15.44892857142857,0,645,6.28.1,2025-02-10 D,15.44892857142857,44.21960714285715
10/02/2025 10:02,39.44426984126984,6.567,0,10/02/2025 10:19,1.9481904761904763,Success,0,18.8,0,646,6.28.1,2025-02-10 D,18.8,45.40817460317461
10/02/2025 10:22,36.61921875,6.623,0,10/02/2025 10:28,1.774859375,Success,0,18.91851563,0,647,6.28.1,2025-02-10 D,18.91851563,42.17345313
10/02/2025 10:39,41.79446153846153,6.816,0,10/02/2025 11:14,1.7222923076923076,Success,0,16.520307692307693,0,649,6.28.1,2025-02-10 D,16.520307692307693,41.52304615384615
10/02/2025 11:17,38.84178461538461,6.848,0,10/02/2025 11:25,1.3766461538461539,Success,0,16.343307692307693,0,650,6.28.1,2025-02-10 D,16.343307692307693,40.34716923076923
10/02/2025 11:28,36.6358,6.752,0,10/02/2025 11:35,1.6040307692307691,Success,0,16.840384615384615,0,651,6.28.1,2025-02-10 D,16.840384615384615,40.27455384615384
10/02/2025 11:38,37.98171428571428,6.678,0,10/02/2025 11:46,1.5343968253968254,Success,0,16.083571428571428,0,652,6.28.1,2025-02-10 D,16.083571428571428,40.922873015873016
10/02/2025 11:50,37.95770313,6.669,0,10/02/2025 11:58,1.208109375,Success,0,16.13039063,0,653,6.28.1,2025-02-10 D,16.13039063,41.19282813
10/02/2025 12:38,37.033952380952385,6.495,0,10/02/2025 12:48,1.2066984126984128,Success,0,16.2,0,655,6.28.1,2025-02-10 D,16.2,40.624761904761904
10/02/2025 12:52,35.12157377049181,6.356,0,10/02/2025 13:00,1.3700655737704919,Success,0,16.27450819672131,0,656,6.28.1,2025-02-10 D,16.27450819672131,40.07573770491803
10/02/2025 14:18,32.67445614035088,6.067,0,10/02/2025 14:25,2.202,Success,0,14.916315789473684,0,660,6.28.1,2025-02-10 D,14.916315789473684,39.86719298245614
10/02/2025 14:29,34.467129629629625,6.121,0,10/02/2025 14:37,3.1200555555555556,Success,0,14.380277777777778,0,661,6.28.1,2025-02-10 D,14.380277777777778,38.43107407407407
