rigSerial,startHoleTime,endHoleTime,currentShift,software,holeID,drilledMeters,penRate,overDrill,spatialInaccuracy,bitDiameter,GPS,posMode,anchorMode,collarMode,drillMode,activationMode,borderHoleFlag,status
RigNumber,02/02/2025 10:34,02/02/2025 10:41,2025-02-02 D,6.28.1,148,5.23793528,0.022092,0.332,0.06706713,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 10:45,02/02/2025 10:52,2025-02-02 D,6.28.1,149,5.328698622,0.019104,0.336,0.085146931,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 11:16,02/02/2025 11:23,2025-02-02 D,6.28.1,150,5.168996905,0.018361,0.333,0.038639358,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 11:25,02/02/2025 11:32,2025-02-02 D,6.28.1,151,5.014695604,0.01931,0.337,0.037121422,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 11:35,02/02/2025 11:41,2025-02-02 D,6.28.1,152,5.043590289,0.019769,0.314,0.022803509,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 11:44,02/02/2025 12:16,2025-02-02 D,6.28.1,153,5.060256318,0.018317,0.351,0.008544004,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 12:18,02/02/2025 12:24,2025-02-02 D,6.28.1,154,5.080723275,0.021185,0.321,0.037013511,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 12:27,02/02/2025 12:33,2025-02-02 D,6.28.1,155,5.142910071,0.022702,0.328,0.036619667,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 12:46,02/02/2025 12:51,2025-02-02 D,6.28.1,156,4.012694855,0.024756,0.347,0.049648766,165,1,None,None,None,1,None,1,Success
RigNumber,02/02/2025 12:56,02/02/2025 13:01,2025-02-02 D,6.28.1,157,3.961636657,0.032114,0.329,0.043081319,165,1,None,None,None,1,None,1,Success
RigNumber,02/02/2025 13:05,02/02/2025 13:10,2025-02-02 D,6.28.1,158,4.028401544,0.024651,0.35,0.026476405,165,1,None,None,None,1,None,1,Success
RigNumber,02/02/2025 13:23,02/02/2025 13:28,2025-02-02 D,6.28.1,159,4.049231285,0.02503,0.338,0.002828427,165,1,None,None,None,1,None,0,Success
